movie_title,release_date,genre,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore
Anatomy of a Murder,1-Jul-59,"Drama,Mystery,Thriller,Crime",0,0,15,95,0,0,3,tbd
Bringing Up Baby,18-Feb-38,"Comedy,Romance,Family",0,1,16,91,1,0,2,tbd
After Life,12-May-99,"Drama,Fantasy",0,0,19,91,0,2,1,tbd
Gavagai,3-Aug-18,Drama,1,0,6,91,0,1,2,tbd
The Hustler,25-Sep-61,"Drama,Sport",1,0,17,90,0,0,3,tbd
The Circus,1-Jan-29,"Comedy,Romance",0,0,7,90,0,0,3,tbd
National Gallery,5-Nov-14,"History,Documentary",1,0,20,89,1,0,2,tbd
Tales of the Grim Sleeper,26-Dec-14,"Crime,Documentary",0,0,9,85,0,1,2,tbd
The Waiting Room,28-Sep-12,Documentary,1,0,11,84,1,0,2,tbd
Rosie,19-Jul-19,Drama,0,0,9,83,1,1,1,tbd
Levitated Mass,5-Sep-14,"Biography,History,Documentary,News",0,0,7,82,0,1,2,tbd
Nossa Chape,1-Jun-18,"Sport,Documentary",1,0,7,80,0,0,3,tbd
Fiddler: A Miracle of Miracles,23-Aug-19,Documentary,0,0,11,80,0,1,2,tbd
Liyana,10-Oct-18,"Animation,Documentary",0,0,10,80,0,1,2,tbd
David Crosby: Remember My Name,19-Jul-19,"Music,Documentary",1,0,21,80,0,1,2,tbd
Colliding Dreams,4-Mar-16,"Biography,History,Documentary,News",0,0,7,79,0,0,3,tbd
The Order of Myths,25-Jul-08,Documentary,1,0,11,79,0,1,2,tbd
House of Games,14-Oct-87,"Thriller,Crime",1,1,11,78,1,0,2,tbd
Tickling Giants,15-Mar-17,Documentary,0,0,11,78,0,0,3,tbd
Abuse of Weakness,15-Aug-14,Drama,1,0,15,77,2,0,1,tbd
People's Republic of Desire,30-Nov-18,Documentary,0,0,13,77,0,2,1,tbd
The Decline of Western Civilization Part III,7-Jul-00,Documentary,2,0,7,77,0,1,2,tbd
How to Change the World,9-Sep-15,"Adventure,Biography,History,Documentary",2,0,5,77,0,1,2,tbd
"Monrovia, Indiana",26-Oct-18,Documentary,4,0,15,77,0,1,2,tbd
The Death and Life of Marsha P. Johnson,6-Oct-17,Documentary,1,0,10,76,0,0,3,tbd
Outside In,30-Mar-18,Drama,1,0,17,76,1,0,2,tbd
"3 1/2 Minutes, 10 Bullets",19-Jun-15,"Drama,Crime,Documentary,News",1,0,18,76,0,1,2,tbd
Keep Quiet,10-Feb-17,Documentary,0,0,8,76,0,1,2,tbd
Trees Lounge,11-Oct-96,"Drama,Comedy",3,1,20,76,0,0,3,tbd
Afternoon of a Faun: Tanaquil Le Clercq,5-Feb-14,"Biography,Drama,Music,Documentary",1,0,12,76,0,0,3,tbd
Promare,17-Sep-19,"Adventure,Sci-Fi,Animation",0,0,7,76,0,0,3,tbd
Heavy,5-Jun-96,"Drama,Romance",0,0,13,75,0,2,1,tbd
Charlie's Country,5-Jun-15,Drama,1,0,8,75,2,0,1,tbd
What Ever Happened to Baby Jane?,31-Oct-62,"Drama,Thriller,Horror",4,0,11,75,0,0,3,tbd
Little Woods,19-Apr-19,"Drama,Crime,Western",2,0,19,74,1,0,2,tbd
Land and Shade,17-Jun-16,Drama,1,0,10,74,1,0,2,tbd
The Rape of Recy Taylor,8-Dec-17,Documentary,3,0,7,73,1,0,2,tbd
(T)error,7-Oct-15,Documentary,3,0,9,73,0,0,3,tbd
China Blue,26-Jan-07,Documentary,0,0,7,73,0,0,3,tbd
Big Animal,20-Feb-04,"Drama,Comedy",2,0,12,73,0,0,3,tbd
One Week and a Day,28-Apr-17,"Drama,Comedy",3,0,8,72,1,0,2,tbd
Saturday Church,12-Jan-18,"Drama,Fantasy,Musical",2,1,9,72,0,0,3,tbd
Violette,13-Jun-14,"Biography,Drama",3,0,11,72,1,0,2,tbd
The Kill Team,25-Jul-14,Documentary,3,0,10,72,0,0,3,tbd
Isn't This a Time! A Tribute Concert for Harold Leventhal,9-Dec-05,Documentary,1,0,7,72,0,0,3,tbd
The Talent Given Us,17-Jun-05,"Drama,Comedy",4,0,13,72,1,0,2,tbd
Men Go to Battle,8-Jul-16,"Drama,History,Comedy",2,1,11,72,0,1,2,tbd
The Brink,29-Mar-19,Documentary,2,2,21,71,1,0,2,tbd
The Farewell Party,22-May-15,"Drama,Comedy",1,1,11,71,0,0,3,tbd
Pasolini,10-May-19,"Biography,Drama",5,0,13,71,0,1,2,tbd
"Cry, the Beloved Country",15-Dec-95,"Drama,Thriller",2,0,12,71,1,0,2,tbd
Sylvio,13-Oct-17,"Drama,Fantasy,Comedy",1,0,6,71,1,0,2,tbd
11 Flowers,22-Feb-13,Drama,3,0,4,71,0,0,3,tbd
King Leopold's Ghost,18-Aug-06,Documentary,1,0,6,71,0,0,3,tbd
Jerichow,15-May-09,Drama,1,0,13,71,0,0,3,tbd
"The Man Nobody Knew: In Search of My Father, CIA Spymaster William Colby",23-Sep-11,"Biography,History,War,Documentary",1,0,10,71,1,0,2,tbd
Rock the Bells,11-Apr-07,"Music,Documentary",1,0,9,70,0,0,3,tbd
The Great Muppet Caper,26-Jun-81,"Adventure,Mystery,Comedy,Crime,Family,Musical",3,0,9,70,0,0,3,tbd
Citizen Jane: Battle for the City,21-Apr-17,"Biography,History,Documentary",2,0,11,70,1,0,2,tbd
Who Gets to Call It Art?,1-Feb-06,Documentary,2,0,8,70,1,0,2,tbd
